"SampleID","substrate","line","age","diet","type","replicate","expid","gutmass","biomass","endpoint","BCR","SR","temperature","humidity","group","Shannon"
"1","LDD0R1","Fresh","LD","D0","D0","Fresh",1,"LD_D0",1,11.38909091,0,1e-07,1e-07,28.93563028,84.95341151,"LD_D0",2.3382432448848
"2","LDD0R2","Fresh","LD","D0","D0","Fresh",2,"LD_D0",1,10.30772727,0,1e-07,1e-07,28.93563028,84.95341151,"LD_D0",2.27864369243612
"3","LDD0R3","Fresh","LD","D0","D0","Fresh",3,"LD_D0",1,15.12681818,0,1e-07,1e-07,28.93563028,84.95341151,"LD_D0",2.33154625795797
"4","LDD5CF70R1","Plant","LD","D5","CF","Homo",1,"LD_D5_Control",126.3,291.915,11,0.258367925,110.5,28.78396625,86.14838423,"LD_CF70",1.9994719328521
"5","LDD5CF70R2","Plant","LD","D5","CF","Homo",2,"LD_D5_Control",98.6,493.095,11,0.281878683,83.2,28.78396625,86.14838423,"LD_CF70",1.43938859515845
"6","LDD5CF70R3","Plant","LD","D5","CF","Homo",3,"LD_D5_Control",126.2,438.87,11,0.371613169,95.5,28.78396625,86.14838423,"LD_CF70",2.22327832663807
"7","LDD5OKAR1","Plant","LD","D5","OKA","Homo",1,"LD_D5_OKA",92,278.64,11,0.280593478,103.6,28.93563028,84.95341151,"LD_OKA",2.35209972033086
"8","LDD5OKAR2","Plant","LD","D5","OKA","Homo",2,"LD_D5_OKA",87.2,353.28,11,0.221690802,95,28.93563028,84.95341151,"LD_OKA",3.1668125738056
"9","LDD5OKAR3","Plant","LD","D5","OKA","Homo",3,"LD_D5_OKA",123.3,253.68,11,0.294436526,100.5,28.93563028,84.95341151,"LD_OKA",2.58848562874595
"10","LDD5PKMR1","Plant","LD","D5","PKM","Homo",1,"LD_D5_PKM",36.7,65.715,15,0.142107199,95.9,28.93563028,84.95341151,"LD_PKM",2.54075872672746
"11","LDD5PKMR2","Plant","LD","D5","PKM","Homo",2,"LD_D5_PKM",23.7,64.59,15,0.14007966,94.1,28.93563028,84.95341151,"LD_PKM",2.37546006031275
"12","LDD5PKMR3","Plant","LD","D5","PKM","Homo",3,"LD_D5_PKM",31.1,60.33,15,0.15845375,116.8,28.93563028,84.95341151,"LD_PKM",2.60074274919149
"13","LDD5RIBR1","Plant","LD","D5","RIB","Homo",1,"LD_D5_RIB",73.3,110.565,14,0.151983871,115.5,28.93563028,84.95341151,"LD_RIB",2.07031855737873
"14","LDD5RIBR2","Plant","LD","D5","RIB","Homo",2,"LD_D5_RIB",35.4,89.49,14,0.189442748,271.8,28.93563028,84.95341151,"LD_RIB",2.11118811634169
"15","LDD5RIBR3","Plant","LD","D5","RIB","Homo",3,"LD_D5_RIB",26.5,80.385,14,0.14474271,92.3,28.93563028,84.95341151,"LD_RIB",2.20987841221953
"16","LDD5SBMR1","Plant","LD","D5","SBM","Homo",1,"LD_D5_SBM",94.1,336.285,14,0.147675,59.1,28.93563028,84.95341151,"LD_SBM",2.41757982115745
"17","LDD5SBMR2","Plant","LD","D5","SBM","Homo",2,"LD_D5_SBM",87.7,302.76,14,0.16138985,77.3,28.93563028,84.95341151,"LD_SBM",2.54274377180036
"18","LDD5SBMR3","Plant","LD","D5","SBM","Homo",3,"LD_D5_SBM",91.1,384.6,14,0.162961222,62.7,28.93563028,84.95341151,"LD_SBM",2.55326951055001
"19","LDD5MR1","Meat","LD","D5","M","Homo",1,"LD_D5_M",36.7,120.225,22,0.107239864,49.5,28.78396625,86.14838423,"LD_M",1.94479793350083
"20","LDD5MR2","Meat","LD","D5","M","Homo",2,"LD_D5_M",25.4,135.705,22,0.097818065,53.2,28.78396625,86.14838423,"LD_M",1.78907364418599
"21","LDD5MR3","Meat","LD","D5","M","Homo",3,"LD_D5_M",19.1,116.685,22,0.074686249,56.8,28.78396625,86.14838423,"LD_M",1.99445894151878
"22","LDD5PR1","Plant","LD","D5","P","Hete",1,"LD_D5_P",189.9,451.02,10,0.196115656,103.2,28.78396625,86.14838423,"LD_P",3.53744829982023
"23","LDD5PR2","Plant","LD","D5","P","Hete",2,"LD_D5_P",172.2,409.32,10,0.228660504,115.9,28.78396625,86.14838423,"LD_P",3.82998637048657
"24","LDD5PR3","Plant","LD","D5","P","Hete",3,"LD_D5_P",106.7,407.985,10,0.192576871,97.7,28.78396625,86.14838423,"LD_P",3.23309271390271
"25","LDD5MHPR1","Meat","LD","D5","MHP","Hete",1,"LD_D5_MHP",68.8,189.735,16,0.075550062,21.8,28.78396625,86.14838423,"LD_MHP",1.74272202188679
"26","LDD5MHPR2","Meat","LD","D5","MHP","Hete",2,"LD_D5_MHP",98.3,314.775,16,0.111865371,31.8,28.78396625,86.14838423,"LD_MHP",2.5006075011323
"27","LDD5MHPR3","Meat","LD","D5","MHP","Hete",3,"LD_D5_MHP",41.1,321.9,16,0.047147817,13.2,28.78396625,86.14838423,"LD_MHP",1.52595621951613
"28","LDD5MLPR1","Plant","LD","D5","MLP","Hete",1,"LD_D5_MLP",72.1,427.14,10,0.171075838,86.4,28.78396625,86.14838423,"LD_MLP",3.13195130786717
"29","LDD5MLPR2","Plant","LD","D5","MLP","Hete",2,"LD_D5_MLP",166.7,353.685,10,0.217838765,114.5,28.78396625,86.14838423,"LD_MLP",3.09709658919443
"30","LDD5MLPR3","Plant","LD","D5","MLP","Hete",3,"LD_D5_MLP",125.4,294.72,10,0.183864916,117.3,28.78396625,86.14838423,"LD_MLP",3.30581817672044
"31","LDD5NUSR1","Meat","LD","D5","NUS","Hete",1,"LD_D5_NUS",86.7,301.155,12,0.286991818,127.7,28.93563028,84.95341151,"LD_NUS",1.78310606202152
"32","LDD5NUSR2","Meat","LD","D5","NUS","Hete",2,"LD_D5_NUS",106,409.53,12,0.24208965,84.1,28.93563028,84.95341151,"LD_NUS",1.78055522108383
"33","LDD5NUSR3","Meat","LD","D5","NUS","Hete",3,"LD_D5_NUS",159.9,377.805,12,0.253766234,90.1,28.93563028,84.95341151,"LD_NUS",2.31437241565944
"34","LDD10CF70R1","Plant","LD","D10","CF","Homo",1,"LD_D10_Control",218.4,774.78,11,0.258367925,110.5,28.78396625,86.14838423,"LD_CF70",2.06779741162381
"35","LDD10CF70R2","Plant","LD","D10","CF","Homo",2,"LD_D10_Control",237,850.08,11,0.281878683,83.2,28.78396625,86.14838423,"LD_CF70",2.40984338478384
"36","LDD10CF70R3","Plant","LD","D10","CF","Homo",3,"LD_D10_Control",206.3,810.36,11,0.371613169,95.5,28.78396625,86.14838423,"LD_CF70",2.77316181889475
"37","LDD10OKAR1","Plant","LD","D10","OKA","Homo",1,"LD_D10_OKA",138.8,560.79,11,0.280593478,103.6,28.93563028,84.95341151,"LD_OKA",2.95034189193801
"38","LDD10OKAR2","Plant","LD","D10","OKA","Homo",2,"LD_D10_OKA",120.9,498.12,11,0.221690802,95,28.93563028,84.95341151,"LD_OKA",3.02669940174105
"39","LDD10OKAR3","Plant","LD","D10","OKA","Homo",3,"LD_D10_OKA",123.4,459.4,11,0.245,98,28.93563028,84.95341151,"LD_OKA",2.38128667780779
"40","LDD10PKMR1","Plant","LD","D10","PKM","Homo",1,"LD_D10_PKM",153,359.04,15,0.142107199,95.9,28.93563028,84.95341151,"LD_PKM",2.89576207576716
"41","LDD10PKMR2","Plant","LD","D10","PKM","Homo",2,"LD_D10_PKM",143.4,350.58,15,0.14007966,94.1,28.93563028,84.95341151,"LD_PKM",2.88225949273438
"42","LDD10PKMR3","Plant","LD","D10","PKM","Homo",3,"LD_D10_PKM",123.9,324.48,15,0.15845375,116.8,28.93563028,84.95341151,"LD_PKM",3.29025903475239
"43","LDD10RIBR1","Plant","LD","D10","RIB","Homo",1,"LD_D10_RIB",129.8,431.79,14,0.151983871,115.5,28.93563028,84.95341151,"LD_RIB",2.32573085302706
"44","LDD10RIBR2","Plant","LD","D10","RIB","Homo",2,"LD_D10_RIB",152.1,416.43,14,0.189442748,271.8,28.93563028,84.95341151,"LD_RIB",2.83842405829955
"45","LDD10RIBR3","Plant","LD","D10","RIB","Homo",3,"LD_D10_RIB",93.3,336.75,14,0.14474271,92.3,28.93563028,84.95341151,"LD_RIB",2.27120704232698
"46","LDD10SBMR1","Plant","LD","D10","SBM","Homo",1,"LD_D10_SBM",139.6,631.98,14,0.147675,59.1,28.93563028,84.95341151,"LD_SBM",1.81269268550841
"47","LDD10SBMR2","Plant","LD","D10","SBM","Homo",2,"LD_D10_SBM",212.9,633.6,14,0.16138985,77.3,28.93563028,84.95341151,"LD_SBM",1.41683109998346
"48","LDD10SBMR3","Plant","LD","D10","SBM","Homo",3,"LD_D10_SBM",144.7,592.17,14,0.162961222,62.7,28.93563028,84.95341151,"LD_SBM",1.64303236916737
"49","LDD10MR1","Meat","LD","D10","M","Homo",1,"LD_D10_M",21.4,165.93,22,0.107239864,49.5,28.78396625,86.14838423,"LD_M",1.7426560699929
"50","LDD10MR2","Meat","LD","D10","M","Homo",2,"LD_D10_M",65,274.47,22,0.097818065,53.2,28.78396625,86.14838423,"LD_M",1.89208227630753
"51","LDD10MR3","Meat","LD","D10","M","Homo",3,"LD_D10_M",67.3,161.34,22,0.074686249,56.8,28.78396625,86.14838423,"LD_M",1.86889696209468
"52","LDD10PR1","Plant","LD","D10","P","Hete",1,"LD_D10_P",144.1,493.8,10,0.196115656,103.2,28.78396625,86.14838423,"LD_P",3.39006088134804
"53","LDD10PR2","Plant","LD","D10","P","Hete",2,"LD_D10_P",162,459.69,10,0.228660504,115.9,28.78396625,86.14838423,"LD_P",3.41617417647845
"54","LDD10PR3","Plant","LD","D10","P","Hete",3,"LD_D10_P",165.6,502.8,10,0.192576871,97.7,28.78396625,86.14838423,"LD_P",3.10686181090856
"55","LDD10MHPR1","Meat","LD","D10","MHP","Hete",1,"LD_D10_MHP",108.9,515.79,16,0.075550062,21.8,28.78396625,86.14838423,"LD_MHP",2.26001740335618
"56","LDD10MHPR2","Meat","LD","D10","MHP","Hete",2,"LD_D10_MHP",132.6,552.6,16,0.111865371,31.8,28.78396625,86.14838423,"LD_MHP",2.18030041489002
"57","LDD10MHPR3","Meat","LD","D10","MHP","Hete",3,"LD_D10_MHP",90.7,466.71,16,0.047147817,13.2,28.78396625,86.14838423,"LD_MHP",2.52209450168662
"58","LDD10MLPR1","Plant","LD","D10","MLP","Hete",1,"LD_D10_MLP",180.7,550.8,10,0.171075838,86.4,28.78396625,86.14838423,"LD_MLP",3.54007665184054
"59","LDD10MLPR2","Plant","LD","D10","MLP","Hete",2,"LD_D10_MLP",104,410.13,10,0.217838765,114.5,28.78396625,86.14838423,"LD_MLP",3.76520300169427
"60","LDD10MLPR3","Plant","LD","D10","MLP","Hete",3,"LD_D10_MLP",112.8,407.07,10,0.183864916,117.3,28.78396625,86.14838423,"LD_MLP",3.03684928190004
"61","LDD10NUSR1","Meat","LD","D10","NUS","Hete",1,"LD_D10_NUS",167.6,629.58,12,0.286991818,127.7,28.93563028,84.95341151,"LD_NUS",1.11827611941666
"62","LDD10NUSR2","Meat","LD","D10","NUS","Hete",2,"LD_D10_NUS",202.7,709.77,12,0.24208965,84.1,28.93563028,84.95341151,"LD_NUS",1.9120111694965
"63","LDD10NUSR3","Meat","LD","D10","NUS","Hete",3,"LD_D10_NUS",139.2,614.91,12,0.253766234,90.1,28.93563028,84.95341151,"LD_NUS",1.14529777352077
"64","WTD0R1","Fresh","WT","D0","D0","Fresh",1,"WT_D0",1,30.045,0,1e-07,1e-07,28.16894808,84.52200564,"WT_D0",1.97361799629942
"65","WTD0R2","Fresh","WT","D0","D0","Fresh",2,"WT_D0",1,15.83454545,0,1e-07,1e-07,28.16894808,84.52200564,"WT_D0",1.821159217355
"66","WTD0R3","Fresh","WT","D0","D0","Fresh",3,"WT_D0",1,22.99090909,0,1e-07,1e-07,28.16894808,84.52200564,"WT_D0",2.02922589015772
"67","WTD5CF70R2","Plant","WT","D5","CF","Homo",2,"WT_D5_Control",70.3,429.36,14,15.1136,93.2,27.77322495,85.78534555,"WT_CF70",1.48609120835942
"68","WTD5CF70R3","Plant","WT","D5","CF","Homo",3,"WT_D5_Control",142,459.255,14,15.0684,92.7,27.77322495,85.78534555,"WT_CF70",1.35620922785793
"69","WTD5OKAR1","Plant","WT","D5","OKA","Homo",1,"WT_D5_OKA",106,380.07,13,12.16,97.3,28.16894808,84.52200564,"WT_OKA",2.88514586333781
"70","WTD5OKAR2","Plant","WT","D5","OKA","Homo",2,"WT_D5_OKA",66.5,382.35,13,11.7,92.7,28.16894808,84.52200564,"WT_OKA",2.54017417526561
"71","WTD5OKAR3","Plant","WT","D5","OKA","Homo",3,"WT_D5_OKA",99.1,368.55,13,11.45,90.9,28.16894808,84.52200564,"WT_OKA",2.57487656074465
"72","WTD5PKMR1","Plant","WT","D5","PKM","Homo",1,"WT_D5_PKM",18,142.41,19,7.9272,70,28.16894808,84.52200564,"WT_PKM",2.4852334786464
"73","WTD5PKMR2","Plant","WT","D5","PKM","Homo",2,"WT_D5_PKM",21.4,136.98,19,8.0376,90.9,28.16894808,84.52200564,"WT_PKM",2.6162540941137
"74","WTD5PKMR3","Plant","WT","D5","PKM","Homo",3,"WT_D5_PKM",26.1,141.15,19,8.7772,85.9,28.16894808,84.52200564,"WT_PKM",2.5943531371342
"75","WTD5RIBR1","Plant","WT","D5","RIB","Homo",1,"WT_D5_RIB",47.9,155.64,15,8.9208,93.2,28.16894808,84.52200564,"WT_RIB",2.11975201040966
"76","WTD5RIBR2","Plant","WT","D5","RIB","Homo",2,"WT_D5_RIB",37.5,213.45,15,7.8116,85.5,28.16894808,84.52200564,"WT_RIB",2.3892472249087
"77","WTD5RIBR3","Plant","WT","D5","RIB","Homo",3,"WT_D5_RIB",58.9,214.74,15,8.6118,89.1,28.16894808,84.52200564,"WT_RIB",2.35009821077435
"78","WTD5SBMR1","Plant","WT","D5","SBM","Homo",1,"WT_D5_SBM",83.2,373.965,13,12.23,95,28.16894808,84.52200564,"WT_SBM",2.39710069771579
"79","WTD5SBMR2","Plant","WT","D5","SBM","Homo",2,"WT_D5_SBM",75.3,414.765,13,11.79,93.6,28.16894808,84.52200564,"WT_SBM",2.03797204898275
"80","WTD5SBMR3","Plant","WT","D5","SBM","Homo",3,"WT_D5_SBM",109.3,418.8,13,10.92,86.8,28.16894808,84.52200564,"WT_SBM",1.87117370731505
"81","WTD5MR1","Meat","WT","D5","M","Homo",1,"WT_D5_M",58.4,193.635,22,4.3842,63.2,27.77322495,85.78534555,"WT_M",1.53526059453921
"82","WTD5MR2","Meat","WT","D5","M","Homo",2,"WT_D5_M",43,189.24,22,5.0914,67.3,27.77322495,85.78534555,"WT_M",2.02839613683964
"83","WTD5MR3","Meat","WT","D5","M","Homo",3,"WT_D5_M",31,174.99,22,4.8422,60.9,27.77322495,85.78534555,"WT_M",1.63087925944058
"84","WTD5PR1","Plant","WT","D5","P","Hete",1,"WT_D5_P",101,550.515,7,12.641,101.8,27.77322495,85.78534555,"WT_P",2.40721737065416
"85","WTD5PR2","Plant","WT","D5","P","Hete",2,"WT_D5_P",174.6,539.115,7,13.9454,100.9,27.77322495,85.78534555,"WT_P",3.21378790678795
"86","WTD5PR3","Plant","WT","D5","P","Hete",3,"WT_D5_P",137.9,559.05,7,13.8394,110.9,27.77322495,85.78534555,"WT_P",2.69549213162474
"87","WTD5MHPR1","Meat","WT","D5","MHP","Hete",1,"WT_D5_MHP",41.5,285.405,18,0.3163,4.1,27.77322495,85.78534555,"WT_MHP",2.41277252629037
"88","WTD5MHPR2","Meat","WT","D5","MHP","Hete",2,"WT_D5_MHP",39,276.855,18,0.7285,5.9,27.77322495,85.78534555,"WT_MHP",2.43251938672332
"89","WTD5MHPR3","Meat","WT","D5","MHP","Hete",3,"WT_D5_MHP",85.6,365.985,18,2.0847,16.4,27.77322495,85.78534555,"WT_MHP",2.59714871540872
"90","WTD5MLPR1","Plant","WT","D5","MLP","Hete",1,"WT_D5_MLP",245.9,539.64,7,11.0249,94.5,27.77322495,85.78534555,"WT_MLP",3.229179715231
"91","WTD5MLPR2","Plant","WT","D5","MLP","Hete",2,"WT_D5_MLP",242.4,568.02,7,11.1917,90,27.77322495,85.78534555,"WT_MLP",2.98473340978964
"92","WTD5MLPR3","Plant","WT","D5","MLP","Hete",3,"WT_D5_MLP",213.4,571.92,7,10.8894,96,27.77322495,85.78534555,"WT_MLP",2.97886567602556
"93","WTD5NUSR1","Meat","WT","D5","NUS","Hete",1,"WT_D5_NUS",66.4,397.065,19,14.3834,87.3,28.16894808,84.52200564,"WT_NUS",1.10916170819017
"94","WTD5NUSR2","Meat","WT","D5","NUS","Hete",2,"WT_D5_NUS",49.2,328.38,19,11.5256,76.4,28.16894808,84.52200564,"WT_NUS",1.61998864980153
"95","WTD5NUSR3","Meat","WT","D5","NUS","Hete",3,"WT_D5_NUS",65.6,326.745,19,12.9511,83.6,28.16894808,84.52200564,"WT_NUS",2.29214208104002
"96","WTD10CF70R1","Plant","WT","D10","CF","Homo",1,"WT_D10_Control",315.8,677.07,14,11.277,73.6,27.77322495,85.78534555,"WT_CF70",2.95699051375959
"97","WTD10CF70R2","Plant","WT","D10","CF","Homo",2,"WT_D10_Control",241.6,695.28,14,15.1136,93.2,27.77322495,85.78534555,"WT_CF70",2.69702379469953
"98","WTD10CF70R3","Plant","WT","D10","CF","Homo",3,"WT_D10_Control",210.3,756.69,14,15.0684,92.7,27.77322495,85.78534555,"WT_CF70",2.76149901929438
"99","WTD10OKAR1","Plant","WT","D10","OKA","Homo",1,"WT_D10_OKA",197.2,582.9,13,12.16,97.3,28.16894808,84.52200564,"WT_OKA",3.53361280419442
"100","WTD10OKAR2","Plant","WT","D10","OKA","Homo",2,"WT_D10_OKA",178.8,578.61,13,11.7,92.7,28.16894808,84.52200564,"WT_OKA",2.17275695721796
"101","WTD10OKAR3","Plant","WT","D10","OKA","Homo",3,"WT_D10_OKA",222.8,614.28,13,11.45,90.9,28.16894808,84.52200564,"WT_OKA",2.87749743340597
"102","WTD10PKMR1","Plant","WT","D10","PKM","Homo",1,"WT_D10_PKM",165.1,446.46,19,7.9272,70,28.16894808,84.52200564,"WT_PKM",3.57256746323224
"103","WTD10PKMR2","Plant","WT","D10","PKM","Homo",2,"WT_D10_PKM",140.3,359.85,19,8.0376,90.9,28.16894808,84.52200564,"WT_PKM",2.99122766515093
"104","WTD10PKMR3","Plant","WT","D10","PKM","Homo",3,"WT_D10_PKM",161.1,360.81,19,8.7772,85.9,28.16894808,84.52200564,"WT_PKM",3.09410128978432
"105","WTD10RIBR1","Plant","WT","D10","RIB","Homo",1,"WT_D10_RIB",190.4,467.67,15,8.9208,93.2,28.16894808,84.52200564,"WT_RIB",2.07903230422247
"106","WTD10RIBR2","Plant","WT","D10","RIB","Homo",2,"WT_D10_RIB",150.9,433.08,15,7.8116,85.5,28.16894808,84.52200564,"WT_RIB",2.46098307539843
"107","WTD10RIBR3","Plant","WT","D10","RIB","Homo",3,"WT_D10_RIB",123.3,477.45,15,8.6118,89.1,28.16894808,84.52200564,"WT_RIB",1.92483567086051
"108","WTD10SBMR1","Plant","WT","D10","SBM","Homo",1,"WT_D10_SBM",156.6,538.41,13,12.23,95,28.16894808,84.52200564,"WT_SBM",1.99575324016224
"109","WTD10SBMR2","Plant","WT","D10","SBM","Homo",2,"WT_D10_SBM",123,542.19,13,11.79,93.6,28.16894808,84.52200564,"WT_SBM",2.05162174093224
"110","WTD10SBMR3","Plant","WT","D10","SBM","Homo",3,"WT_D10_SBM",161.2,559.38,13,10.92,86.8,28.16894808,84.52200564,"WT_SBM",1.68814980242691
"111","WTD10MR1","Meat","WT","D10","M","Homo",1,"WT_D10_M",136.4,364.08,22,4.3842,63.2,27.77322495,85.78534555,"WT_M",1.47673473001902
"112","WTD10MR2","Meat","WT","D10","M","Homo",2,"WT_D10_M",122.5,407.88,22,5.0914,67.3,27.77322495,85.78534555,"WT_M",1.86558495124025
"113","WTD10MR3","Meat","WT","D10","M","Homo",3,"WT_D10_M",57.7,277.44,22,4.8422,60.9,27.77322495,85.78534555,"WT_M",1.41854260811978
"114","WTD10PR1","Plant","WT","D10","P","Hete",1,"WT_D10_P",213.1,524.55,7,12.641,101.8,27.77322495,85.78534555,"WT_P",2.95729040113248
"115","WTD10PR2","Plant","WT","D10","P","Hete",2,"WT_D10_P",174.6,555.27,7,13.9454,100.9,27.77322495,85.78534555,"WT_P",2.90936877241245
"116","WTD10PR3","Plant","WT","D10","P","Hete",3,"WT_D10_P",202.5,520.536,7,13.8394,110.9,27.77322495,85.78534555,"WT_P",3.0322078773885
"117","WTD10MHPR1","Meat","WT","D10","MHP","Hete",1,"WT_D10_MHP",132.9,551.04,18,0.3163,4.1,27.77322495,85.78534555,"WT_MHP",1.6822068238582
"118","WTD10MHPR2","Meat","WT","D10","MHP","Hete",2,"WT_D10_MHP",98.1,484.68,18,0.7285,5.9,27.77322495,85.78534555,"WT_MHP",1.64281154381742
"119","WTD10MHPR3","Meat","WT","D10","MHP","Hete",3,"WT_D10_MHP",159.5,551.01,18,2.0847,16.4,27.77322495,85.78534555,"WT_MHP",1.82540218892465
"120","WTD10MLPR1","Plant","WT","D10","MLP","Hete",1,"WT_D10_MLP",104.8,503.127,7,11.0249,94.5,27.77322495,85.78534555,"WT_MLP",3.33597549967645
"121","WTD10MLPR2","Plant","WT","D10","MLP","Hete",2,"WT_D10_MLP",107.1,549.39,7,11.1917,90,27.77322495,85.78534555,"WT_MLP",2.48522170467953
"122","WTD10MLPR3","Plant","WT","D10","MLP","Hete",3,"WT_D10_MLP",122.3,485.19,7,10.8894,96,27.77322495,85.78534555,"WT_MLP",3.17597369637605
"123","WTD10NUSR1","Meat","WT","D10","NUS","Hete",1,"WT_D10_NUS",166.9,583.2,19,14.3834,87.3,28.16894808,84.52200564,"WT_NUS",1.52781532693375
"124","WTD10NUSR2","Meat","WT","D10","NUS","Hete",2,"WT_D10_NUS",152.1,600.75,19,11.5256,76.4,28.16894808,84.52200564,"WT_NUS",1.52265280467016
"125","WTD10NUSR3","Meat","WT","D10","NUS","Hete",3,"WT_D10_NUS",140.5,599.01,19,12.9511,83.6,28.16894808,84.52200564,"WT_NUS",1.65145445975952
